Tour,FED_Taux,Pions_Libres,BTC_Force,BTC_Rois,BTC_Pions,SOL_Force,SOL_Cavaliers,SOL_Pions,PEPE_Force,PEPE_Pions
79860,1.31,1172,326,1,8,338,1,9,17,6
79870,4.25,1199,296,1,3,284,1,2,9,2
79880,1.1,1190,358,1,4,272,0,6,7,1
79890,0.98,1199,356,1,3,264,0,2,7,1
79900,-2.63,1196,334,1,2,308,0,4,7,1
79910,0.23,1202,282,1,1,370,0,0,5,0
79920,4.97,1203,254,1,2,340,0,0,5,0
79930,-0.88,1188,258,1,4,478,0,4,7,1
79940,-1.73,1192,258,1,4,416,0,3,5,0
79950,-1.84,1196,302,1,1,416,0,3,5,0
79960,4.32,1204,290,1,0,360,0,0,5,0
79970,2.52,1200,294,1,2,304,0,2,5,0
79980,4.92,1206,250,1,0,300,0,0,5,0
79990,1.35,1203,252,1,1,302,0,1,5,0
80000,3.23,1201,282,1,1,330,0,0,7,1
80010,0.15,1200,290,1,0,304,0,2,5,0
80020,2.13,1204,340,1,0,222,0,1,5,0
80030,1.58,1186,342,1,6,270,2,5,5,0
80040,-4.69,1192,436,2,3,246,1,3,9,2
80050,-4.4,1154,484,2,12,342,2,11,25,10
80060,3.12,1201,412,2,1,240,1,0,5,0
80070,-4.53,1199,416,2,3,222,0,1,7,1
80080,-1.45,1199,404,2,2,242,1,1,5,0
80090,4.52,1199,480,2,0,342,1,1,5,0
80100,4.17,1197,414,2,2,382,0,1,9,2
80110,-4.27,1192,422,2,1,416,0,3,7,1
80120,-2.7,1179,384,2,7,336,0,8,15,5
80130,-3.33,1181,440,2,5,312,1,6,11,3
80140,1.64,1199,334,1,2,400,0,0,5,0
80150,1.14,1165,468,1,9,478,0,9,13,4
80160,-1.68,1188,436,1,3,508,0,4,5,0
80170,-1.06,1195,434,2,2,482,0,1,7,1
80180,-3.4,1184,420,2,5,360,0,5,13,4
80190,2.29,1202,412,2,1,282,0,1,5,0
80200,1.68,1188,302,2,6,368,1,4,11,3
80210,-2.75,1194,364,2,2,348,0,4,9,2
80220,1.03,1202,294,2,2,224,0,2,5,0
80230,-1.36,1193,316,2,3,230,0,5,7,1
80240,0.08,1179,336,2,8,240,0,10,7,1
80250,-4.73,1146,356,2,18,288,0,19,13,4
80260,3.4,1205,430,3,0,222,0,1,5,0
80270,2.62,1173,554,3,7,270,0,10,11,3
80280,-3.73,1139,668,3,14,290,0,20,19,7
80290,0.98,1197,456,3,3,242,1,1,5,0
80300,1.11,1200,414,3,2,242,1,1,5,0
80310,-2.26,1191,416,3,3,268,0,4,9,2
80320,-1.99,1200,450,4,0,294,0,2,5,0
80330,-4.49,1201,412,3,1,262,0,1,7,1
80340,-0.64,1192,418,3,4,268,0,4,7,1
80350,4.79,1206,370,3,0,260,0,0,5,0
80360,0.02,1185,404,3,7,398,2,4,7,1
80370,4.21,1206,312,2,1,260,0,0,5,0
80380,4.05,1203,314,2,2,254,0,2,5,0
80390,-0.17,1202,352,2,1,322,0,1,5,0
80400,0.59,1194,444,2,2,306,0,3,7,1
80410,-1.14,1201,294,2,2,322,0,1,5,0
80420,3.75,1207,290,2,0,280,0,0,5,0
80430,2.93,1180,402,2,6,298,0,9,7,1
